ID	Category	DayOfWeek	Month	Hour
150036947	ROBBERY	Tuesday	January	1AM
150037058	ROBBERY	Tuesday	January	3AM
150037092	ROBBERY	Tuesday	January	5AM
150037105	ROBBERY	Tuesday	January	5AM
150037218	ROBBERY	Tuesday	January	7AM
150037456	ROBBERY	Tuesday	January	10AM
150037581	ROBBERY	Tuesday	January	10AM
150037688	ROBBERY	Tuesday	January	11AM
150037735	ROBBERY	Tuesday	January	11AM
150037989	ROBBERY	Tuesday	January	10AM
150038103	ROBBERY	Tuesday	January	1PM
150038636	ROBBERY	Tuesday	January	4PM
150039082	ROBBERY	Tuesday	January	5PM
150039117	ROBBERY	Tuesday	January	6PM
150039355	ROBBERY	Monday	January	10PM
150039606	ROBBERY	Tuesday	January	9PM
150040114	ROBBERY	Wednesday	January	2AM
150040136	ROBBERY	Wednesday	January	3AM
150040233	ROBBERY	Wednesday	January	5AM
150041554	ROBBERY	Wednesday	January	1PM
150042085	ROBBERY	Wednesday	January	4PM
150042110	ROBBERY	Wednesday	January	5PM
150042201	ROBBERY	Wednesday	January	5PM
150042267	ROBBERY	Wednesday	January	6PM
150042596	ROBBERY	Wednesday	January	7PM
150043152	ROBBERY	Wednesday	January	11PM
150043334	ROBBERY	Thursday	January	12AM
150043384	ROBBERY	Thursday	January	12AM
150043481	ROBBERY	Thursday	January	1AM
150043572	ROBBERY	Thursday	January	2AM
150043613	ROBBERY	Thursday	January	2AM
150043629	ROBBERY	Thursday	January	3AM
150043663	ROBBERY	Wednesday	January	11PM
150043760	ROBBERY	Thursday	January	12AM
150043942	ROBBERY	Thursday	January	8AM
150044122	ROBBERY	Thursday	January	9AM
150044332	ROBBERY	Wednesday	January	10PM
150044837	ROBBERY	Wednesday	January	10PM
150044871	ROBBERY	Thursday	January	1PM
150045697	ROBBERY	Wednesday	January	8PM
150046184	ROBBERY	Thursday	January	6PM
150046491	ROBBERY	Thursday	January	9PM
150046758	ROBBERY	Friday	January	12AM
150046855	ROBBERY	Friday	January	2AM
150048215	ROBBERY	Friday	January	2PM
150048293	ROBBERY	Thursday	January	11PM
150048384	ROBBERY	Tuesday	January	11AM
150048475	ROBBERY	Friday	January	4PM
150048657	ROBBERY	Friday	January	3PM
150049279	ROBBERY	Friday	January	7PM
150049291	ROBBERY	Thursday	January	6AM
150049354	ROBBERY	Friday	January	7PM
150049912	ROBBERY	Friday	January	11PM
150050088	ROBBERY	Saturday	January	1AM
150050420	ROBBERY	Saturday	January	4AM
150050696	ROBBERY	Saturday	January	8AM
150051296	ROBBERY	Saturday	January	12AM
150051393	ROBBERY	Saturday	January	12PM
150052062	ROBBERY	Saturday	January	4PM
150052169	ROBBERY	Saturday	January	4PM
150052200	ROBBERY	Saturday	January	4PM
150052476	ROBBERY	Saturday	January	6PM
150052733	ROBBERY	Saturday	January	8PM
150052824	ROBBERY	Saturday	January	9PM
150052830	ROBBERY	Saturday	January	9PM
150052846	ROBBERY	Saturday	January	9PM
150052852	ROBBERY	Saturday	January	9PM
150052880	ROBBERY	Saturday	January	9PM
150053082	ROBBERY	Saturday	January	11PM
150053242	ROBBERY	Sunday	January	12AM
150053872	ROBBERY	Sunday	January	9AM
150055072	ROBBERY	Sunday	January	5PM
150055179	ROBBERY	Sunday	January	6PM
150055373	ROBBERY	Sunday	January	7PM
150055793	ROBBERY	Sunday	January	11PM
150055953	ROBBERY	Monday	January	12AM
150056177	ROBBERY	Monday	January	3AM
150056519	ROBBERY	Monday	January	8AM
150057175	ROBBERY	Thursday	January	2AM
150057608	ROBBERY	Monday	January	2PM
150057880	ROBBERY	Monday	January	12PM
150058515	ROBBERY	Monday	January	8PM
150058690	ROBBERY	Monday	January	9PM
150058775	ROBBERY	Monday	January	10PM
150058941	ROBBERY	Tuesday	January	1AM
150059933	ROBBERY	Tuesday	January	11AM
150060407	ROBBERY	Tuesday	January	1PM
150061198	ROBBERY	Tuesday	January	4PM
150061643	ROBBERY	Tuesday	January	7PM
150061712	ROBBERY	Tuesday	January	7PM
150061734	ROBBERY	Tuesday	January	7PM
150062334	ROBBERY	Tuesday	January	8PM
150062481	ROBBERY	Wednesday	January	12AM
150062516	ROBBERY	Wednesday	January	2AM
150062544	ROBBERY	Tuesday	January	2AM
150063360	ROBBERY	Wednesday	January	11AM
150064346	ROBBERY	Wednesday	January	11AM
150064813	ROBBERY	Wednesday	January	6PM
150065758	ROBBERY	Thursday	January	12AM
150065827	ROBBERY	Thursday	January	1AM
150065833	ROBBERY	Thursday	January	2AM
150065861	ROBBERY	Thursday	January	2AM
150066007	ROBBERY	Thursday	January	7AM
150066853	ROBBERY	Thursday	January	11AM
150068116	ROBBERY	Thursday	January	5PM
150068150	ROBBERY	Thursday	January	6PM
150068489	ROBBERY	Thursday	January	6PM
150068655	ROBBERY	Thursday	January	9PM
150068809	ROBBERY	Thursday	January	11PM
150069045	ROBBERY	Friday	January	1AM
150069051	ROBBERY	Friday	January	1AM
150069095	ROBBERY	Friday	January	1AM
150069863	ROBBERY	Friday	January	11AM
150069948	ROBBERY	Friday	January	11AM
150070484	ROBBERY	Friday	January	3PM
150070490	ROBBERY	Friday	January	3PM
150071818	ROBBERY	Friday	January	9PM
150071921	ROBBERY	Friday	January	10PM
150072173	ROBBERY	Saturday	January	12AM
150072242	ROBBERY	Saturday	January	12AM
150072311	ROBBERY	Saturday	January	1AM
150072468	ROBBERY	Friday	January	10PM
150072684	ROBBERY	Saturday	January	4AM
150072816	ROBBERY	Saturday	January	6AM
150072935	ROBBERY	Saturday	January	8AM
150073400	ROBBERY	Saturday	January	12PM
150074408	ROBBERY	Friday	January	6PM
150074925	ROBBERY	Saturday	January	10PM
150075111	ROBBERY	Sunday	January	12AM
150075202	ROBBERY	Sunday	January	1AM
150075218	ROBBERY	Sunday	January	1AM
150075246	ROBBERY	Sunday	January	2AM
150075252	ROBBERY	Sunday	January	2AM
150075274	ROBBERY	Sunday	January	2AM
150075296	ROBBERY	Sunday	January	2AM
150075406	ROBBERY	Sunday	January	3AM
150076460	ROBBERY	Friday	January	7PM
150076545	ROBBERY	Sunday	January	3PM
150077292	ROBBERY	Sunday	January	8PM
150077496	ROBBERY	Sunday	January	10PM
150077509	ROBBERY	Sunday	January	10PM
150077612	ROBBERY	Sunday	January	10PM
150077634	ROBBERY	Sunday	January	11PM
150077769	ROBBERY	Friday	January	8PM
150077797	ROBBERY	Monday	January	2AM
150077963	ROBBERY	Monday	January	5AM
150078773	ROBBERY	Saturday	January	3AM
150079141	ROBBERY	Monday	January	2PM
150079248	ROBBERY	Sunday	January	12AM
150079458	ROBBERY	Thursday	January	2PM
150079903	ROBBERY	Monday	January	6PM
150080455	ROBBERY	Monday	January	8PM
150080825	ROBBERY	Tuesday	January	1AM
150080869	ROBBERY	Tuesday	January	2AM
150081237	ROBBERY	Friday	January	12AM
150081378	ROBBERY	Tuesday	January	9AM
150081453	ROBBERY	Monday	January	1PM
150083932	ROBBERY	Tuesday	January	11PM
150083954	ROBBERY	Tuesday	January	11PM
150084059	ROBBERY	Wednesday	January	12AM
150084162	ROBBERY	Wednesday	January	1AM
150084491	ROBBERY	Wednesday	January	8AM
150085546	ROBBERY	Wednesday	January	11AM
150086265	ROBBERY	Wednesday	January	3PM
150086500	ROBBERY	Wednesday	January	5PM
150086566	ROBBERY	Wednesday	January	5PM
150086704	ROBBERY	Wednesday	January	7PM
150086914	ROBBERY	Wednesday	January	8PM
150087326	ROBBERY	Wednesday	January	9PM
150087536	ROBBERY	Thursday	January	1AM
150090476	ROBBERY	Friday	January	12AM
150090498	ROBBERY	Thursday	January	11PM
150090608	ROBBERY	Friday	January	12AM
150090636	ROBBERY	Friday	January	12AM
150091220	ROBBERY	Friday	January	8AM
150092858	ROBBERY	Friday	January	6PM
150093072	ROBBERY	Friday	January	10AM
150093141	ROBBERY	Friday	January	7PM
150093298	ROBBERY	Friday	January	9PM
150093436	ROBBERY	Friday	January	9PM
150093583	ROBBERY	Saturday	January	10PM
150093953	ROBBERY	Saturday	January	2AM
150093981	ROBBERY	Saturday	January	2AM
150094177	ROBBERY	Saturday	January	7AM
150094230	ROBBERY	Saturday	January	7AM
150094393	ROBBERY	Saturday	January	12AM
150094456	ROBBERY	Saturday	January	10AM
150094531	ROBBERY	Friday	January	5PM
150094553	ROBBERY	Saturday	January	10AM
150094569	ROBBERY	Saturday	January	4AM
150094600	ROBBERY	Wednesday	January	1AM
150094650	ROBBERY	Saturday	January	11AM
150095551	ROBBERY	Saturday	January	5PM
150095761	ROBBERY	Friday	January	2AM
150096082	ROBBERY	Saturday	January	8PM
150096208	ROBBERY	Saturday	January	9AM
150096327	ROBBERY	Saturday	January	10PM
150096446	ROBBERY	Saturday	January	10PM
150096634	ROBBERY	Sunday	February	1AM
150096769	ROBBERY	Sunday	February	3AM
150096844	ROBBERY	Sunday	February	3AM
150096894	ROBBERY	Sunday	February	3AM
150096979	ROBBERY	Sunday	February	5AM
150096985	ROBBERY	Sunday	February	5AM
150097262	ROBBERY	Saturday	January	11PM
150097319	ROBBERY	Saturday	January	2AM
150098185	ROBBERY	Sunday	February	3PM
150098210	ROBBERY	Sunday	February	3PM
150098367	ROBBERY	Sunday	February	4PM
150098414	ROBBERY	Sunday	February	5PM
150098420	ROBBERY	Sunday	February	5PM
150098668	ROBBERY	Sunday	February	5PM
150098771	ROBBERY	Thursday	January	3AM
150098969	ROBBERY	Sunday	February	8PM
150098997	ROBBERY	Sunday	February	8PM
150099133	ROBBERY	Sunday	February	9PM
150099177	ROBBERY	Sunday	February	9PM
150099202	ROBBERY	Sunday	February	10PM
150099274	ROBBERY	Sunday	February	10PM
150099359	ROBBERY	Sunday	February	2AM
150099531	ROBBERY	Monday	February	1AM
150099581	ROBBERY	Monday	February	3AM
150099707	ROBBERY	Monday	February	6AM
150100774	ROBBERY	Monday	February	1PM
150100843	ROBBERY	Monday	February	1PM
150101512	ROBBERY	Sunday	February	11PM
150102128	ROBBERY	Monday	February	6PM
150102269	ROBBERY	Monday	February	9PM
150102366	ROBBERY	Monday	February	10PM
150102667	ROBBERY	Tuesday	February	1AM
150102673	ROBBERY	Tuesday	February	1AM
150102883	ROBBERY	Saturday	January	5AM
150103994	ROBBERY	Tuesday	February	12PM
150104964	ROBBERY	Tuesday	February	5PM
150105122	ROBBERY	Monday	February	3AM
150105188	ROBBERY	Tuesday	February	6PM
150105332	ROBBERY	Tuesday	February	7PM
150105354	ROBBERY	Tuesday	February	7PM
150105661	ROBBERY	Tuesday	February	6PM
150105752	ROBBERY	Tuesday	February	9PM
150106108	ROBBERY	Tuesday	February	9PM
150106186	ROBBERY	Wednesday	February	1AM
150106437	ROBBERY	Wednesday	February	6AM
150106926	ROBBERY	Wednesday	February	8AM
150106954	ROBBERY	Wednesday	February	9AM
150107184	ROBBERY	Wednesday	February	10AM
150107742	ROBBERY	Wednesday	February	1PM
150108110	ROBBERY	Wednesday	February	2PM
150109033	ROBBERY	Wednesday	February	6PM
150109237	ROBBERY	Wednesday	February	7PM
150109481	ROBBERY	Wednesday	February	8PM
150109550	ROBBERY	Wednesday	February	9PM
150109691	ROBBERY	Wednesday	February	9PM
150111016	ROBBERY	Thursday	February	12PM
150111072	ROBBERY	Thursday	February	12PM
150111919	ROBBERY	Thursday	February	4PM
150112503	ROBBERY	Thursday	February	8PM
150112810	ROBBERY	Thursday	February	10PM
150113216	ROBBERY	Friday	February	2AM
150113244	ROBBERY	Friday	February	2AM
150113307	ROBBERY	Friday	February	4AM
150113658	ROBBERY	Friday	February	9AM
150113937	ROBBERY	Friday	February	11AM
150114509	ROBBERY	Thursday	February	7PM
150114979	ROBBERY	Friday	February	4PM
150114985	ROBBERY	Thursday	February	7PM
150115212	ROBBERY	Friday	February	7PM
150115422	ROBBERY	Friday	February	8PM
150115927	ROBBERY	Thursday	February	8PM
150116066	ROBBERY	Saturday	February	3AM
150116715	ROBBERY	Friday	February	6AM
150116903	ROBBERY	Saturday	February	1PM
150117252	ROBBERY	Saturday	February	2PM
150117280	ROBBERY	Saturday	February	2PM
150117735	ROBBERY	Saturday	February	5PM
150117826	ROBBERY	Saturday	February	6PM
150117923	ROBBERY	Saturday	February	2AM
150118090	ROBBERY	Saturday	February	8PM
150118103	ROBBERY	Saturday	February	8PM
150118250	ROBBERY	Saturday	February	9PM
150118294	ROBBERY	Saturday	February	10PM
150118539	ROBBERY	Saturday	February	11PM
150118664	ROBBERY	Sunday	February	2AM
150118705	ROBBERY	Sunday	February	2AM
150119264	ROBBERY	Sunday	February	9AM
150119311	ROBBERY	Sunday	February	11AM
150119333	ROBBERY	Sunday	February	11AM
150119747	ROBBERY	Thursday	February	1AM
150119907	ROBBERY	Sunday	February	2PM
150120089	ROBBERY	Sunday	February	3PM
150120700	ROBBERY	Sunday	February	7PM
150120722	ROBBERY	Sunday	February	7PM
150120772	ROBBERY	Sunday	February	8PM
150121281	ROBBERY	Monday	February	4AM
150121338	ROBBERY	Monday	February	6AM
150122411	ROBBERY	Monday	February	1PM
150122455	ROBBERY	Monday	February	2PM
150122477	ROBBERY	Monday	February	11AM
150122637	ROBBERY	Monday	February	1AM
150123152	ROBBERY	Sunday	February	11PM
150123390	ROBBERY	Monday	February	5PM
150123942	ROBBERY	Monday	February	9PM
150124031	ROBBERY	Monday	February	10PM
150124138	ROBBERY	Monday	February	11PM
150125421	ROBBERY	Tuesday	February	12PM
150125807	ROBBERY	Tuesday	February	1PM
150126435	ROBBERY	Tuesday	February	5PM
150126764	ROBBERY	Tuesday	February	7PM
150126792	ROBBERY	Monday	February	7PM
150127483	ROBBERY	Wednesday	February	12AM
150127637	ROBBERY	Wednesday	February	1AM
150127712	ROBBERY	Wednesday	February	1AM
150128469	ROBBERY	Tuesday	February	9PM
150128798	ROBBERY	Wednesday	February	10AM
150128970	ROBBERY	Wednesday	February	1PM
150130408	ROBBERY	Wednesday	February	9PM
150130583	ROBBERY	Wednesday	February	10PM
150130674	ROBBERY	Wednesday	February	11PM
150130765	ROBBERY	Thursday	February	12AM
150130812	ROBBERY	Thursday	February	2AM
150131854	ROBBERY	Thursday	February	12PM
150132426	ROBBERY	Thursday	February	7AM
150133333	ROBBERY	Thursday	February	10PM
150133468	ROBBERY	Thursday	February	11PM
150133656	ROBBERY	Friday	February	1AM
150133662	ROBBERY	Friday	February	1AM
150134319	ROBBERY	Friday	February	8AM
150135248	ROBBERY	Thursday	February	2AM
150135492	ROBBERY	Friday	February	6PM
150135878	ROBBERY	Saturday	February	11PM
150136218	ROBBERY	Friday	February	7PM
150136428	ROBBERY	Saturday	February	1AM
150136547	ROBBERY	Saturday	February	2AM
150136650	ROBBERY	Saturday	February	3AM
150136729	ROBBERY	Saturday	February	12AM
150136967	ROBBERY	Friday	February	11PM
150137614	ROBBERY	Saturday	February	1PM
150137670	ROBBERY	Friday	February	8PM
150139121	ROBBERY	Sunday	February	12AM
150139331	ROBBERY	Sunday	February	2AM
150139400	ROBBERY	Sunday	February	3AM
150139585	ROBBERY	Sunday	February	4AM
150139739	ROBBERY	Sunday	February	7AM
150140510	ROBBERY	Sunday	February	1PM
150140899	ROBBERY	Sunday	February	1AM
150140930	ROBBERY	Sunday	February	3PM
150141085	ROBBERY	Sunday	February	4PM
150141223	ROBBERY	Sunday	February	5PM
150141502	ROBBERY	Sunday	February	7PM
150141665	ROBBERY	Sunday	February	8PM
150142334	ROBBERY	Monday	February	2AM
150142594	ROBBERY	Monday	February	6AM
150143025	ROBBERY	Monday	February	10AM
150143495	ROBBERY	Monday	February	1PM
150143611	ROBBERY	Monday	February	1PM
150144318	ROBBERY	Monday	February	1AM
150144512	ROBBERY	Monday	February	3PM
150144788	ROBBERY	Monday	February	7PM
150144857	ROBBERY	Monday	February	5PM
150145316	ROBBERY	Monday	February	8PM
150145792	ROBBERY	Monday	February	6PM
150146734	ROBBERY	Tuesday	February	12PM
150146972	ROBBERY	Tuesday	February	1PM
150147425	ROBBERY	Saturday	January	2AM
150148047	ROBBERY	Tuesday	February	7PM
150148257	ROBBERY	Tuesday	February	8PM
150148310	ROBBERY	Tuesday	February	8PM
150148332	ROBBERY	Tuesday	February	8PM
150148586	ROBBERY	Tuesday	February	9PM
150148655	ROBBERY	Tuesday	February	10PM
150148815	ROBBERY	Tuesday	February	11PM
150148906	ROBBERY	Monday	February	12AM
150149835	ROBBERY	Wednesday	February	10AM
150150666	ROBBERY	Wednesday	February	2PM
150151454	ROBBERY	Wednesday	February	1PM
150152026	ROBBERY	Wednesday	February	9PM
150152098	ROBBERY	Wednesday	February	10PM
150152151	ROBBERY	Wednesday	February	11PM
150152189	ROBBERY	Wednesday	February	8PM
150152333	ROBBERY	Wednesday	February	11PM
150152355	ROBBERY	Thursday	February	12AM
150154828	ROBBERY	Thursday	February	7PM
150154925	ROBBERY	Thursday	February	8PM
150155387	ROBBERY	Friday	February	12AM
150155989	ROBBERY	Friday	February	9AM
150156686	ROBBERY	Thursday	February	10PM
150156959	ROBBERY	Friday	February	1PM
150157123	ROBBERY	Thursday	February	8PM
150157333	ROBBERY	Friday	February	3PM
150157402	ROBBERY	Friday	February	12PM
150157913	ROBBERY	Friday	February	6PM
150158121	ROBBERY	Friday	February	7PM
150158137	ROBBERY	Friday	February	7PM
150158228	ROBBERY	Thursday	February	9PM
150158278	ROBBERY	Friday	February	8PM
150158319	ROBBERY	Friday	February	8PM
150158325	ROBBERY	Friday	February	8PM
150158494	ROBBERY	Friday	February	9PM
150158579	ROBBERY	Friday	February	10PM
150158739	ROBBERY	Friday	February	11PM
150158836	ROBBERY	Friday	February	11PM
150159157	ROBBERY	Saturday	February	2AM
150159583	ROBBERY	Saturday	February	9AM
150159806	ROBBERY	Saturday	February	10AM
150160320	ROBBERY	Saturday	February	1PM
150161237	ROBBERY	Saturday	February	5PM
150161635	ROBBERY	Saturday	February	9PM
150162138	ROBBERY	Sunday	February	2AM
150162207	ROBBERY	Sunday	February	3AM
150162423	ROBBERY	Sunday	February	8AM
150162984	ROBBERY	Sunday	February	1AM
150163114	ROBBERY	Sunday	February	12PM
150163619	ROBBERY	Sunday	February	3PM
150163998	ROBBERY	Sunday	February	6PM
150164435	ROBBERY	Sunday	February	8PM
150164441	ROBBERY	Sunday	February	8PM
150164667	ROBBERY	Sunday	February	9PM
150164786	ROBBERY	Sunday	February	10PM
150165148	ROBBERY	Monday	February	5AM
150165580	ROBBERY	Monday	February	9AM
150166475	ROBBERY	Monday	February	1PM
150166964	ROBBERY	Monday	February	4PM
150167285	ROBBERY	Monday	February	5PM
150167564	ROBBERY	Monday	February	6PM
150167934	ROBBERY	Monday	February	8PM
150167940	ROBBERY	Monday	February	9PM
150167962	ROBBERY	Monday	February	8PM
150168158	ROBBERY	Monday	February	8PM
150168170	ROBBERY	Monday	February	10PM
150168578	ROBBERY	Tuesday	February	2AM
150169059	ROBBERY	Tuesday	February	9AM
150169247	ROBBERY	Tuesday	February	10AM
150169899	ROBBERY	Tuesday	February	1PM
150169924	ROBBERY	Tuesday	February	1PM
150169946	ROBBERY	Tuesday	February	1PM
150169980	ROBBERY	Tuesday	February	1PM
150170272	ROBBERY	Tuesday	February	3PM
150170498	ROBBERY	Tuesday	February	3PM
150170711	ROBBERY	Tuesday	February	5PM
150170937	ROBBERY	Friday	February	11PM
150171145	ROBBERY	Tuesday	February	7PM
150171236	ROBBERY	Tuesday	February	4PM
150171242	ROBBERY	Tuesday	February	8PM
150171311	ROBBERY	Tuesday	February	8PM
150171333	ROBBERY	Tuesday	February	8PM
150171377	ROBBERY	Tuesday	February	7PM
150171424	ROBBERY	Tuesday	February	6PM
150171703	ROBBERY	Tuesday	February	10PM
150171963	ROBBERY	Wednesday	February	2AM
150172109	ROBBERY	Wednesday	February	2AM
150172381	ROBBERY	Wednesday	February	8AM
150172911	ROBBERY	Wednesday	February	11AM
150174321	ROBBERY	Wednesday	February	5PM
150175448	ROBBERY	Thursday	February	2AM
150175501	ROBBERY	Thursday	February	3AM
150175799	ROBBERY	Monday	February	9AM
150175993	ROBBERY	Wednesday	February	7PM
150176913	ROBBERY	Thursday	February	2PM
150177046	ROBBERY	Thursday	February	3PM
150177115	ROBBERY	Thursday	February	2PM
150178555	ROBBERY	Thursday	February	9PM
150179070	ROBBERY	Friday	February	2AM
150179092	ROBBERY	Friday	February	1AM
150180732	ROBBERY	Friday	February	3PM
150181473	ROBBERY	Friday	February	7PM
150181520	ROBBERY	Friday	February	7PM
150181934	ROBBERY	Friday	February	9PM
150182023	ROBBERY	Tuesday	February	11PM
150182039	ROBBERY	Friday	February	10PM
150182227	ROBBERY	Friday	February	11PM
150182506	ROBBERY	Saturday	February	2AM
150183184	ROBBERY	Saturday	February	8AM
150183300	ROBBERY	Saturday	February	10AM
150183554	ROBBERY	Saturday	February	12AM
150184079	ROBBERY	Saturday	February	2AM
150184875	ROBBERY	Saturday	February	8PM
150184994	ROBBERY	Saturday	February	8PM
150185180	ROBBERY	Saturday	February	10PM
150185196	ROBBERY	Saturday	February	11PM
150185237	ROBBERY	Saturday	February	11PM
150185572	ROBBERY	Sunday	March	2AM
150185801	ROBBERY	Sunday	March	1AM
150185873	ROBBERY	Sunday	March	3AM
150186075	ROBBERY	Sunday	March	3AM
